id,number_in_season,number_in_series,original_air_date,original_air_year,season,title
512,4,512,2012-11-11,2012,24,Gone Abie Gone
517,9,517,2013-01-06,2013,24,Homer Goes to Prep School
533,3,533,2013-11-03,2013,25,Four Regrettings and a Funeral
537,7,537,2013-12-08,2013,25,Yellow Subterfuge
505,19,505,2012-04-29,2012,23,A Totally Fun Thing That Bart Will Never Do Again
492,6,492,2011-11-20,2011,23,The Book Job
499,13,499,2012-02-12,2012,23,The Daughter Also Rises
539,9,539,2014-01-05,2014,25,Steal This Episode
501,15,501,2012-03-04,2012,23,Exit Through the Kwik-E-Mart
523,15,523,2013-03-10,2013,24,"Black Eyed, Please"
503,17,503,2012-03-18,2012,23,"Them, Robot"
532,2,532,2013-10-06,2013,25,Treehouse of Horror XXIV
526,18,526,2013-04-28,2013,24,Pulpit Friction
519,11,519,2013-01-27,2013,24,The Changing of the Guardian
509,1,509,2012-09-30,2012,24,Moonshine River
514,6,514,2012-11-25,2012,24,A Tree Grows in Springfield
510,2,510,2012-10-07,2012,24,Treehouse of Horror XXIII
515,7,515,2012-12-09,2012,24,The Day the Earth Stood Cool
521,13,521,2013-02-17,2013,24,Hardly Kirk-ing
528,20,528,2013-05-12,2013,24,The Fabulous Faker Boy
535,5,535,2013-11-17,2013,25,Labor Pains
530,22,530,2013-05-19,2013,24,Dangers on a Train
218,15,218,1999-02-21,1999,10,"Marge Simpson in: ""Screaming Yellow Honkers"""
544,14,544,2014-03-16,2014,25,The Winter of His Content
549,19,549,2014-04-27,2014,25,What to Expect When Bart's Expecting
560,8,560,2014-11-23,2014,26,Covercraft
565,13,565,2015-02-08,2015,26,Walking Big & Tall
579,5,579,2015-10-25,2015,27,Treehouse of Horror XXVI
584,10,584,2016-01-03,2016,27,The Girl Code
551,21,551,2014-05-11,2014,25,Pay Pal
575,1,575,2015-09-27,2015,27,Every Man's Dream
572,20,572,2015-05-03,2015,26,Let's Go Fly a Coot
569,17,569,2015-03-15,2015,26,Waiting for Duffman
581,7,581,2015-11-22,2015,27,Lisa with an 'S'
563,11,563,2015-01-11,2015,26,Bart's New Friend
587,13,587,2016-02-14,2016,27,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4
571,19,571,2015-04-26,2015,26,The Kids Are All Fight
568,16,568,2015-03-08,2015,26,Sky Police
553,1,553,2014-09-28,2014,26,Clown in the Dumps
555,3,555,2014-10-12,2014,26,Super Franchise Me
586,12,586,2016-01-17,2016,27,Much Apu About Something
561,9,561,2014-12-07,2014,26,I Won't Be Home for Christmas
556,4,556,2014-10-19,2014,26,Treehouse of Horror XXV
566,14,566,2015-02-15,2015,26,My Fare Lady
591,17,591,2016-04-03,2016,27,The Burns Cage
574,22,574,2015-05-17,2015,26,Mathlete's Feat
589,15,589,2016-03-06,2016,27,Lisa the Veterinarian
582,8,582,2015-12-06,2015,27,Paths of Glory
577,3,577,2015-10-11,2015,27,Puffless
31,18,31,1991-04-11,1991,2,Brush with Greatness
45,10,45,1991-11-21,1991,3,Flaming Moe's
5,5,5,1990-02-04,1990,1,Bart the General
59,24,59,1992-08-27,1992,3,"Brother, Can You Spare Two Dimes?"
62,3,62,1992-10-08,1992,4,Homer the Heretic
83,2,83,1993-10-07,1993,5,Cape Feare
88,7,88,1993-11-11,1993,5,Bart's Inner Child
96,15,96,1994-02-24,1994,5,Deep Space Homer
100,19,100,1994-04-28,1994,5,Sweet Seymour Skinner's Baadasssss Song
101,20,101,1994-05-05,1994,5,The Boy Who Knew Too Much
109,6,109,1994-10-30,1994,6,Treehouse of Horror V
128,25,128,1995-05-21,1995,6,Who Shot Mr. Burns? (Part One)
155,2,155,1996-11-03,1996,8,You Only Move Twice
162,9,162,1997-01-05,1997,8,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)
176,23,176,1997-05-04,1997,8,Homer's Enemy
182,4,182,1997-10-26,1997,9,Treehouse of Horror VIII
185,7,185,1997-11-16,1997,9,The Two Mrs. Nahasapeemapetilons
209,6,209,1998-11-15,1998,10,D'oh-in' in the Wind
256,8,256,2000-12-17,2000,12,Skinner's Sense of Snow
257,9,257,2001-01-07,2001,12,HOMR
266,18,266,2001-04-29,2001,12,Trilogy of Error
291,22,291,2002-05-22,2002,13,Poppa's Got a Brand New Badge
292,1,292,2002-11-03,2002,14,Treehouse of Horror XIII
495,9,495,2011-12-11,2011,23,Holidays of Future Passed
558,6,558,2014-11-09,2014,26,Simpsorama
578,4,578,2015-10-18,2015,27,Halloween of Horror
594,20,594,2016-05-08,2016,27,To Courier with Love
3,3,3,1990-01-21,1990,1,Homer's Odyssey
235,9,235,1999-12-19,1999,11,Grift of the Magi
250,2,250,2000-11-05,2000,12,A Tale of Two Springfields
253,5,253,2000-11-26,2000,12,Homer vs. Dignity
282,13,282,2002-03-10,2002,13,The Old Man and the Key
307,16,307,2003-03-30,2003,14,'Scuse Me While I Miss the Sky
324,11,324,2004-02-08,2004,15,Margical History Tour
348,13,348,2005-03-20,2005,16,Mobile Homer
351,16,351,2005-05-01,2005,16,Don't Fear the Roofer
369,13,369,2006-03-12,2006,17,The Seemingly Never-Ending Story
371,15,371,2006-03-26,2006,17,"Homer Simpson, This Is Your Wife"
374,18,374,2006-04-23,2006,17,The Wettest Stories Ever Told
403,3,403,2007-10-07,2007,19,Midnight Towboy
426,6,426,2008-11-16,2008,20,Homer and Lisa Exchange Cross Words
441,21,441,2009-05-17,2009,20,Coming to Homerica
445,4,445,2009-10-18,2009,21,Treehouse of Horror XX
458,17,458,2010-04-11,2010,21,American History X-cellent
460,19,460,2010-04-25,2010,21,The Squirt and the Whale
468,4,468,2010-11-07,2010,22,Treehouse of Horror XXI
493,7,493,2011-11-27,2011,23,The Man in the Blue Flannel Pants
524,16,524,2013-03-17,2013,24,Dark Knight Court
529,21,529,2013-05-19,2013,24,The Saga of Carl
546,16,546,2014-03-30,2014,25,You Don't Have to Live Like a Referee
567,15,567,2015-03-01,2015,26,The Princess Guide
592,18,592,2016-04-10,2016,27,How Lisa Got Her Marge Back
596,22,596,2016-05-22,2016,27,Orange Is the New Yellow
597,1,597,2016-09-25,2016,28,Monty Burns' Fleeing Circus
262,14,262,2001-02-25,2001,12,New Kids on the Blecch
277,8,277,2002-01-20,2002,13,Sweets and Sour Marge
290,21,290,2002-05-19,2002,13,The Frying Game
303,12,303,2003-02-16,2003,14,I'm Spelling As Fast As I Can
304,13,304,2003-03-02,2003,14,A Star Is Born-Again
317,4,317,2003-11-23,2003,15,The Regina Monologues
356,21,356,2005-05-15,2005,16,"The Father, the Son, and the Holy Guest Star"
361,5,361,2005-11-13,2005,17,Marge's Son Poisoning
373,17,373,2006-04-09,2006,17,"Kiss Kiss, Bang Bangalore"
380,2,380,2006-09-17,2006,18,Jazzy and the Pussycats
401,1,401,2007-09-23,2007,19,He Loves to Fly and He D'ohs
404,4,404,2007-10-14,2007,19,I Don't Wanna Know Why the Caged Bird Sings
409,9,409,2007-12-16,2007,19,Eternal Moonshine of the Simpson Mind
429,9,429,2009-01-25,2009,20,Lisa the Drama Queen
431,11,431,2009-03-01,2009,20,How the Test Was Won
434,14,434,2009-03-22,2009,20,In the Name of the Grandfather
435,15,435,2009-03-29,2009,20,Wedding for Disaster
486,22,486,2011-05-22,2011,22,The Ned-Liest Catch
500,14,500,2012-02-19,2012,23,At Long Last Leave
502,16,502,2012-03-11,2012,23,How I Wet Your Mother
511,3,511,2012-11-04,2012,24,Adventures in Baby-Getting
542,12,542,2014-03-09,2014,25,Diggs
548,18,548,2014-04-13,2014,25,Days of Future Future
